Categories,Descriptions,Duration,Instructor_full,Level,Link,Name,NumEnrolled,NumReviews,Price,Provider_full,Stars,InstructorName,ProviderName,MasterCategories,Modules,ReviewsURL,Skills,Source,string,Keywords
Big Data & Analytics ,"JavaScript is an incredible multi-functional language, often used for web development. Any interaction that happens on web pages is JavaScript in action.,On this four-week course, you’ll learn everything you need to know to create JavaScript applications and use JavaScript on web pages.,You’ll start with the fundamentals of the JavaScript language, such as setting up your environment, adding JavaScript to a webpage, and writing JavaScript code before exploring more advanced topics.,To help you build a strong foundation of knowledge, you’ll delve into the essential building blocks of JavaScript: variables and operators.,You’ll explore different variable data types to understand how to store and work with variable values in your scripts to make them dynamic.,Next, you’ll develop your understanding of operators and how they are used to modify variables or to tell us something about the variables. You’ll explore arithmetic, assignment, conditional, and logical operators and learn how to do basic calculations based on factors such as user input.,To take your coding skills to the next level, you’ll learn how to use functions to structure your code. You’ll also explore classes, which provide another useful building block to help you structure your application better.,Finally, you’ll cover the built-in JavaScript methods to help improve the effectiveness of your code whilst saving time and complying with best practices for developing solutions.,Now you are familiar with many of the core features of JavaScript, you could develop your skills further by taking the Intermediate and Advanced JavaScript course here.",,"{'instructor_link': None, 'instructor_name': None}",,https://www.futurelearn.com/courses/introduction-to-javascript-1,Introduction to JavaScript,,11.0,84,"{'provider_link': 'https://www.futurelearn.com/partners/packt',
 'provider_name': 'Packt'}",4.9,,Packt,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Develop,Methods,Explain,Apply]",Futurelearn,"introduction to JavaScript JavaScript be an incredible multi - functional language , often use for web development . any interaction that happen on web page be JavaScript in action . ,On this four - week course , you ’ll learn everything you need to know to create JavaScript application and use JavaScript on web page . ,You’ll start with the fundamental of the JavaScript language , such as set up your environment , add JavaScript to a webpage , and write JavaScript code before explore more advanced topic . ,To help you build a strong foundation of knowledge , you ’ll delve into the essential building block of JavaScript : variable and operator . ,You’ll explore different variable datum type to understand how to store and work with variable value in your script to make they dynamic . ,next , you ’ll develop your understanding of operator and how they be use to modify variable or to tell we something about the variable . you ’ll explore arithmetic , assignment , conditional , and logical operator and learn how to do basic calculation base on factor such as user input . ,To take your code skill to the next level , you ’ll learn how to use function to structure your code . you ’ll also explore class , which provide another useful building block to help you structure your application well . ,finally , you ’ll cover the build - in JavaScript method to help improve the effectiveness of your code whilst save time and comply with good practice for develop solution . ,Now you be familiar with many of the core feature of JavaScript , you could develop your skill far by take the intermediate and Advanced JavaScript course here .","javascript, skill, add, operator, building, conditional, fundamental, datum, whilst, know, Data Science, Big Data & Analytics , [Develop,Methods,Explain,Apply]"
Big Data & Analytics ,"All interaction that occurs on a web page is an example of JavaScript in action.,On this course, you’ll expand your current knowledge of JavaScript programming and discover complex and advanced techniques to take your web page applications to the next level.,You’ll begin with a crash course in HTML, equipping you with the skills to explore the functions of the Document Object Model, a programming interface for web development.,You’ll learn how to manipulate DOM elements, giving you the skills to create modern user experiences and to easily react and respond to user behaviours.,Building on your knowledge of user behaviour, you’ll learn how to develop your interactive content, monitor user activity, and specify actions when events occur, using event handlers.,You’ll delve into programming terminology and operations including regular expressions, recursion, concurrency, and debugging, gaining an overview of their applications in real-life scenarios.,Bringing together your understanding of JavaScript and HTML, you’ll focus on HTML5-specific features such as Canvas, allowing you to draw graphics for your web pages.,Having gained an overview of JavaScript fundamentals, you’ll finish this course by looking at frameworks including Angular, React, and Vue, helping you streamline your projects with collections of pre-written code.,By the end of this course, you’ll have a working knowledge of complex operations you can achieve with JavaScript and their applications within web development. With these skills, you’ll be able to elevate your web projects, producing highly interactive web page content.",,"{'instructor_link': None, 'instructor_name': None}",,https://www.futurelearn.com/courses/intermediate-and-advanced-javascript,Intermediate and Advanced Javascript,,11.0,84,"{'provider_link': 'https://www.futurelearn.com/partners/packt',
 'provider_name': 'Packt'}",4.9,,Packt,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Describe,Manipulate,Listeners,Concurrency]",Futurelearn,"intermediate and Advanced Javascript all interaction that occur on a web page be an example of JavaScript in action . ,On this course , you ’ll expand your current knowledge of JavaScript programming and discover complex and advanced technique to take your web page application to the next level . ,You’ll begin with a crash course in html , equip you with the skill to explore the function of the Document Object Model , a programming interface for web development . ,You’ll learn how to manipulate dom element , give you the skill to create modern user experience and to easily react and respond to user behaviour . ,Building on your knowledge of user behaviour , you ’ll learn how to develop your interactive content , monitor user activity , and specify action when event occur , use event handler . ,You’ll delve into programming terminology and operation include regular expression , recursion , concurrency , and debugging , gain an overview of their application in real - life scenario . ,bringe together your understanding of JavaScript and HTML , you ’ll focus on HTML5 - specific feature such as Canvas , allow you to draw graphic for your web page . ,Having gain an overview of JavaScript fundamental , you ’ll finish this course by look at framework include Angular , React , and Vue , help you streamline your project with collection of pre - write code . ,By the end of this course , you ’ll have a work knowledge of complex operation you can achieve with JavaScript and their application within web development . with these skill , you ’ll be able to elevate your web project , produce highly interactive web page content .","javascript, framework, debugging, fundamental, concurrency, write, recursion, elevate, vue, look, Data Science, Big Data & Analytics , [Describe,Manipulate,Listeners,Concurrency]"
Healthcare & Medicine,"Non-Invasive Prenatal Testing (NIPT) is a timely issue in the UK. Already available within the private healthcare system, this maternal blood test is set to be offered by England’s National Health Service this year (NHS),On this course, healthcare professionals will be introduced to the development, technology, along with ethical and legal considerations of NIPT. You will consider how and when to discuss NIPT with patients and the importance of patient choice. You will reflect on current NIPT practices, your personal experiences in the healthcare system, and improvements for the future.",6.0,"{'instructor_link': None, 'instructor_name': None}",Intermediate,https://www.futurelearn.com/courses/non-invasive-prenatal-testing,Non-Invasive Prenatal Testing (NIPT): An Introduction for Healthcare Professionals,"4,953",23.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/sgul',
 'provider_name': ""St George's, University of London""}",4.7,,"St George's, University of London",Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,,Futurelearn,"Non - invasive Prenatal Testing ( NIPT ): an introduction for Healthcare Professionals Non - invasive Prenatal Testing ( NIPT ) be a timely issue in the UK . already available within the private healthcare system , this maternal blood test be set to be offer by England ’s National Health Service this year ( NHS),On this course , healthcare professional will be introduce to the development , technology , along with ethical and legal consideration of NIPT . you will consider how and when to discuss NIPT with patient and the importance of patient choice . you will reflect on current NIPT practice , your personal experience in the healthcare system , and improvement for the future .",nan
Healthcare & Medicine,"ESPGHAN is the leading global authority on neonatal and infant nutrition. On this four-week course, their experts will help you gain knowledge of nutrient intake based on the latest evidence. You can then use this knowledge to develop a safer and more effective clinical practice.,The ESPGHAN CoN (Committee of Nutrition) provides key recommendations that you can take into practice and use to improve clinical care.,You’ll hear directly from neonatal specialists through a variety of media, including case studies, to ensure you finish the course with a sound understanding of enteral nutrition in preterm infants.,You’ll start by exploring nutrient intake recommendations including energy, protein, electrolytes, and vitamins.,Whilst investigating the evidence base for nutrient groups, you’ll also be introduced to other common practices, such as feeding modes and growth assessment..,Unpacking further case studies, you’ll develop the skills to help you compare and contrast your own clinical practice, supported by expert input and the ESPGHAN CoN recommendations.,With this knowledge, you’ll be able to explain areas of uncertainty, such as where evidence-based is too limited to make a firm recommendation.,During the final week of the course, you’ll discover the importance of involving parents and carers in preterm nutrition.,Hearing from personal experiences, you’ll explore breast milk fortification, donor human milk, supplemental bionutrients, and learn how to conduct a holistic assessment of nutritional status.,By the end of the course, you’ll have the knowledge and skills to deliver more effective care in your clinical neonatal practice.",12.0,"{'instructor_link': '/profiles/12358071',
 'instructor_name': 'Nicholas Embleton'}",Advanced,https://www.futurelearn.com/courses/espghan-recommendation-for-enteral-nutrition-in-preterm-infants,Enteral Nutrition in Preterm Infants: ESPGHAN Recommendations,"1,813",10.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/espghan',
 'provider_name': 'The European Society for Paediatric Gastroenterology '
                  'Hepatology and Nutrition (ESPGHAN)'}",4.7,Nicholas Embleton,The European Society for Paediatric Gastroenterology Hepatology and Nutrition (ESPGHAN),Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,,Futurelearn,"Enteral Nutrition in Preterm Infants : ESPGHAN Recommendations ESPGHAN be the lead global authority on neonatal and infant nutrition . on this four - week course , their expert will help you gain knowledge of nutrient intake base on the late evidence . you can then use this knowledge to develop a safe and more effective clinical practice . ,The ESPGHAN CoN ( Committee of Nutrition ) provide key recommendation that you can take into practice and use to improve clinical care . ,You’ll hear directly from neonatal specialist through a variety of medium , include case study , to ensure you finish the course with a sound understanding of enteral nutrition in preterm infant . ,You’ll start by explore nutrient intake recommendation include energy , protein , electrolyte , and vitamin . ,Whilst investigate the evidence base for nutrient group , you ’ll also be introduce to other common practice , such as feeding mode and growth assessment .. ,Unpacking further case study , you ’ll develop the skill to help you compare and contrast your own clinical practice , support by expert input and the ESPGHAN CoN recommendation . ,With this knowledge , you ’ll be able to explain area of uncertainty , such as where evidence - base be too limited to make a firm recommendation . ,dure the final week of the course , you ’ll discover the importance of involve parent and carer in preterm nutrition . ,Hearing from personal experience , you ’ll explore breast milk fortification , donor human milk , supplemental bionutrient , and learn how to conduct a holistic assessment of nutritional status . ,By the end of the course , you ’ll have the knowledge and skill to deliver more effective care in your clinical neonatal practice .",nan
Healthcare & Medicine,"In order to be energised and ready to take on life, it’s important to know the foods that can provide you with all the nutrients you need to feel your best.,On this four-week course, you’ll be guided by an expert in dietary nutrition, learning the basics of food, nutrition, and its impact on your health and wellbeing.,On this course, you’ll gain a complete overview of basic nutritional concepts.,You’ll delve into the six classes of nutrients, learning to categorise foods and explain their effects on our bodies.,You’ll learn to identify high and low-energy foods and explain the connection between food energy and diet.,Using engaging and accessible videos, case studies, and articles, you’ll explore the functions of energy and non-energy yielding nutrients before delving into dietary fibre, phytochemicals, and additives in food.,With your knowledge of food composition, you’ll be better equipped to make healthy, nutritional choices and understand the impact they have on your energy levels and overall health.,With case studies from around the world, you’ll examine nutrient recommendations in global contexts and use this to inform your own healthy eating recommendations.,You’ll compare various food groups and food group systems and learn how to ensure adequate nutrients are sourced within different diets including flexitarian, vegan, and vegetarian.,By the end of this course, you’ll understand how the composition of different foods contributes to our overall health. With this knowledge, you’ll be able to make informed, healthy choices, backed up by a scientific understanding of the nutrients different foods provide.",,"{'instructor_link': '/profiles/19247836', 'instructor_name': 'Helen Morris'}",Open,https://www.futurelearn.com/courses/healthy-eating,A Beginner’s Guide to Healthy Eating,885,254.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/university-of-adelaide',
 'provider_name': 'The University of Adelaide'}",4.7,Helen Morris,The University of Adelaide,Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,,Futurelearn,"a Beginner ’s guide to Healthy Eating in order to be energise and ready to take on life , it ’ important to know the food that can provide you with all the nutrient you need to feel your good . ,On this four - week course , you ’ll be guide by an expert in dietary nutrition , learn the basic of food , nutrition , and its impact on your health and wellbeing . ,On this course , you ’ll gain a complete overview of basic nutritional concept . ,You’ll delve into the six class of nutrient , learn to categorise food and explain their effect on our body . ,You’ll learn to identify high and low - energy food and explain the connection between food energy and diet . ,Using engaging and accessible video , case study , and article , you ’ll explore the function of energy and non - energy yield nutrient before delve into dietary fibre , phytochemical , and additive in food . ,With your knowledge of food composition , you ’ll be well equip to make healthy , nutritional choice and understand the impact they have on your energy level and overall health . ,With case study from around the world , you ’ll examine nutrient recommendation in global context and use this to inform your own healthy eat recommendation . ,You’ll compare various food group and food group system and learn how to ensure adequate nutrient be source within different diet include flexitarian , vegan , and vegetarian . ,By the end of this course , you ’ll understand how the composition of different food contribute to our overall health . with this knowledge , you ’ll be able to make informed , healthy choice , back up by a scientific understanding of the nutrient different food provide .",nan
Healthcare & Medicine,"Antimicrobial resistance is a complex problem in today’s medicine that requires a unique approach. On this three-week course, you’ll build your knowledge of how a social science perspective can fight the problem of antimicrobial resistance.,You will gain insights into antimicrobial stewardship (AMS) in different contexts and how to apply a social science research approach. You will also be introduced to different fields of study and social science theory.,You’ll better understand the social factors behind antimicrobial resistance (AMR) and apply social science methods to manage AMR.,Next, you’ll learn the techniques to help you apply social science research methods in AMR.,You’ll learn about priorities in AMR research, qualitative methodology, and the realist review to help you inform recommendations for developing and/or improving antimicrobial stewardship.,You’ll explore examples of using different social science research methods across primary and secondary care, in different countries facing different challenges.,This practical knowledge will help you gain a solid introduction to ethnography, using sociograms to map communication and gain novel insights into the current delivery of AMS activities.,By the end of the course, you’ll have the knowledge and skills to identify potential research questions or quality improvement intervention ideas for your specific setting that can be investigated in future studies using social science methods.",6.0,"{'instructor_link': '/profiles/763497',
 'instructor_name': 'Esmita  Charani, Educator '}",Advanced,https://www.futurelearn.com/courses/social-science-for-tackling-antimicrobial-resistance,Tackling Antimicrobial Resistance: A Social Science Approach,"3,231",13.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/british-society-for-antimicrobial-chemotherapy',
 'provider_name': 'BSAC'}",4.7,"Esmita  Charani, Educator ",BSAC,Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,,Futurelearn,"tackle Antimicrobial Resistance : a Social Science Approach Antimicrobial resistance be a complex problem in today ’s medicine that require a unique approach . on this three - week course , you ’ll build your knowledge of how a social science perspective can fight the problem of antimicrobial resistance . ,You will gain insight into antimicrobial stewardship ( AMS ) in different context and how to apply a social science research approach . you will also be introduce to different field of study and social science theory . ,You’ll well understand the social factor behind antimicrobial resistance ( AMR ) and apply social science method to manage amr.,next , you ’ll learn the technique to help you apply social science research method in AMR.,You’ll learn about priority in AMR research , qualitative methodology , and the realist review to help you inform recommendation for develop and/or improve antimicrobial stewardship . ,You’ll explore example of use different social science research method across primary and secondary care , in different country face different challenge . ,This practical knowledge will help you gain a solid introduction to ethnography , use sociogram to map communication and gain novel insight into the current delivery of ams activity . ,By the end of the course , you ’ll have the knowledge and skill to identify potential research question or quality improvement intervention idea for your specific setting that can be investigate in future study use social science method .",nan
Nature & Environment,"In the built environment, with all of the different building materials used, environmental conditions, and other factors, there are countless possibilities for error.,Essentially, no two structures will ever be exactly the same. The best way to deal with this, and minimise failure, is with a clear understanding of building pathology.,On this four-week course from Universiti Malaya, you’ll learn the science behind building defects, including how to diagnose and deal with them. By the end, you’ll be ready to take on any building pathology you are faced with.,This course gives you a solid foundation in everything that can go wrong with a building’s structure, stability, and longevity. You’ll learn the scientific explanations for problems with various building materials, design, and other issues.,Importantly, this course won’t just explain the science behind building failures. It also gives you the skills you need to systematically and critically evaluate these defects in the manner that a building surveyor would.,You’ll learn to describe the problems that you see in a way that helps building professionals diagnose the underlying issues and then suggest improvements that are both suitable and sustainable. In short, you’ll be part of the solution to the problem.,Accredited by both the Royal Institute of Surveyors Malaysia and the Royal Institution of Chartered Surveyors UK, Universiti Malaya also has a staff of seasoned experts eager to impart their knowledge. Overall, the University will support your studies as strongly as a well-constructed building!",12.0,"{'instructor_link': '/profiles/1017011',
 'instructor_name': 'Zahiruddin Fitri Abu Hassan'}",Beginner,https://www.futurelearn.com/courses/building-pathology,Building Pathology: The Science Behind Why Buildings Fail,,7.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/universiti-malaya',
 'provider_name': 'Universiti Malaya'}",4.1,Zahiruddin Fitri Abu Hassan,Universiti Malaya,Nature & Environment,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,,Futurelearn,"build Pathology : the Science behind why building Fail in the build environment , with all of the different building material use , environmental condition , and other factor , there be countless possibility for error . ,essentially , no two structure will ever be exactly the same . the good way to deal with this , and minimise failure , be with a clear understanding of building pathology . ,On this four - week course from Universiti Malaya , you ’ll learn the science behind build defect , include how to diagnose and deal with they . by the end , you ’ll be ready to take on any building pathology you be face with . ,this course give you a solid foundation in everything that can go wrong with a building ’s structure , stability , and longevity . you ’ll learn the scientific explanation for problem with various building material , design , and other issue . ,importantly , this course will not just explain the science behind build failure . it also give you the skill you need to systematically and critically evaluate these defect in the manner that a building surveyor would . ,You’ll learn to describe the problem that you see in a way that help build professional diagnose the underlie issue and then suggest improvement that be both suitable and sustainable . in short , you ’ll be part of the solution to the problem . ,accredite by both the Royal Institute of Surveyors Malaysia and the Royal Institution of Chartered Surveyors UK , Universiti Malaya also have a staff of seasoned expert eager to impart their knowledge . overall , the University will support your study as strongly as a well - construct building !",nan
Big Data & Analytics ,"On this six-week course from Wintec, you’ll be guided through an in-depth case study of a particular learner, giving you insights and helping you to understand your own learners and how best to teach them English as an additional language.,You’ll start this course by exploring the concept and outline of a case study to lay the foundations for the format of the course. By structuring your learning as a case study, you’ll be able to see each strategy, its implementation, and its results through a real-time example.,As you progress through the course, you’ll look at how to determine and adapt to different language proficiency levels as well as how to step back and observe a classroom. You’ll then explore the numerous learning strategies, what types of students each is appropriate for, and which strategies are best for language learning.,Motivation has been defined in a number of ways. Some believe it is a combination of a learner’s attitudes, desires, and willingness to expend effort to learn.,During the final week of this course, you’ll look at the different types of motivation, from instrumental and integrative motivation to intrinsic and extrinsic motivation.,The teaching team on the Wintec/Te Pukenga Graduate Diploma in Teaching English to Speakers of Other Languages (Level 7) has broad and lengthy experience in both teaching English language learners and as language teacher educators.,With their expertise, the educators on this course are uniquely positioned to help you build your skills and become a better language teacher.",,"{'instructor_link': '/profiles/6102930', 'instructor_name': 'Sue Edwards'}",,https://www.futurelearn.com/courses/guided-case-study-of-an-english-language-learner,Guided Case Study of an English Language Learner,,108.0,14,"{'provider_link': 'https://www.futurelearn.com/partners/wintec',
 'provider_name': 'Wintec'}",4.7,Sue Edwards,Wintec,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Explore benefits,Identify info, Reflect performance, Adjust culture, Investigate differences, Identify Motivation]",Futurelearn,"Guided Case Study of an English Language Learner on this six - week course from Wintec , you ’ll be guide through an in - depth case study of a particular learner , give you insight and help you to understand your own learner and how good to teach they English as an additional language . ,You’ll start this course by explore the concept and outline of a case study to lay the foundation for the format of the course . by structure your learning as a case study , you ’ll be able to see each strategy , its implementation , and its result through a real - time example . ,As you progress through the course , you ’ll look at how to determine and adapt to different language proficiency level as well as how to step back and observe a classroom . you ’ll then explore the numerous learning strategy , what type of student each be appropriate for , and which strategy be good for language learning . ,Motivation have be define in a number of way . some believe it be a combination of a learner ’s attitude , desire , and willingness to expend effort to learn . ,During the final week of this course , you ’ll look at the different type of motivation , from instrumental and integrative motivation to intrinsic and extrinsic motivation . ,The teach team on the Wintec / Te Pukenga Graduate Diploma in teach English to Speakers of other Languages ( Level 7 ) have broad and lengthy experience in both teach english language learner and as language teacher educator . ,With their expertise , the educator on this course be uniquely position to help you build your skill and become a well language teacher .","study, willingness, wintec, format, lay, expend, define, speakers, uniquely, pukenga, Data Science, Big Data & Analytics , [Explore benefits,Identify info, Reflect performance, Adjust culture, Investigate differences, Identify Motivation]"
Education,"Gen Z learners are between nine and twenty-two years old, making up the majority of students currently in the education system.,On this four-week course, you’ll learn to better understand Gen Z and importantly, what motivates them to learn.,Whether you’re a parent, teacher, or professional working closely with Gen Z, this course will help you build a repertoire of strategies to enhance motivation in Gen Z learners.,It will equip you with the skills and knowledge of motivational theories and their application in real-life contexts.,Through various sessions, you’ll explore practical teaching approaches to get Gen Z’s ready and excited to learn.,You’ll explore key motivational concepts and the behaviourist approach to motivation to understand how learning is enhanced when basic needs are fulfilled.,Following the storyline of two children, Bob and Sarah, you’ll be presented with a variety of problem scenarios. These depict common motivational issues that you can resolve using the motivational principles taught on the course.,You’ll address variables that can affect motivation to learn such as generational differences, the neuroscience of learning, and diversity.,You’ll also examine positive psychology and mindfulness as a classroom tool. This course will put you in the right mindset to engage and motivate young people whilst achieving your own learning and teaching goals.",12.0,"{'instructor_link': None, 'instructor_name': None}",Beginner,https://www.futurelearn.com/courses/motivating-gen-z-learners-what-parents-and-teachers-need-to-know,Motivating Gen Z Learners: What Parents and Teachers Need to Know,510,108.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/nanyang-technological-university',
 'provider_name': 'Nanyang Technological University, Singapore'}",4.7,,"Nanyang Technological University, Singapore",Social Sciences,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[State concepts, Enhance needs, Explain mindsets, Relate self-regulated]",Futurelearn,"Motivating Gen Z Learners : what Parents and Teachers need to know Gen z learner be between nine and twenty - two year old , make up the majority of student currently in the education system . ,On this four - week course , you ’ll learn to well understand Gen Z and importantly , what motivate they to learn . ,Whether you ’re a parent , teacher , or professional working closely with Gen Z , this course will help you build a repertoire of strategy to enhance motivation in Gen Z learner . ,It will equip you with the skill and knowledge of motivational theory and their application in real - life context . ,Through various session , you ’ll explore practical teaching approach to get Gen Z ’s ready and excited to learn . ,You’ll explore key motivational concept and the behaviourist approach to motivation to understand how learning be enhance when basic need be fulfil . ,Following the storyline of two child , Bob and Sarah , you ’ll be present with a variety of problem scenario . these depict common motivational issue that you can resolve use the motivational principle teach on the course . ,You’ll address variable that can affect motivation to learn such as generational difference , the neuroscience of learning , and diversity . ,You’ll also examine positive psychology and mindfulness as a classroom tool . this course will put you in the right mindset to engage and motivate young people whilst achieve your own learning and teaching goal .","motivation, principle, repertoire, variable, sarah, enhance, ready, know, fulfil, week, Social Sciences, Education, [State concepts, Enhance needs, Explain mindsets, Relate self-regulated]"
Healthcare & Medicine,"Despite organ donation being hugely important there is currently limited training for healthcare workforce regarding the complex issues around organ and tissue donation. This course aims to change that.,On the course, created in collaboration with the NHS Blood and Transplant service, you will learn about the basic principles and processes involved in organ donation from the legal aspects, to types of donation, to the importance of communication with families.,Please note that this course will be facilitated by the educators on the third Monday of every month.",4.0,"{'instructor_link': '/profiles/6742017', 'instructor_name': 'Hannah Cock'}",Intermediate,https://www.futurelearn.com/courses/organ-donation,Organ Donation: The Essentials for Healthcare Professionals,"8,426",30.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/sgul',
 'provider_name': ""St George's, University of London""}",4.5,Hannah Cock,"St George's, University of London",Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Explain principles,Summarise types, Identify key processe, Diagnose death, Evaluate laws, Describe tissue, Reflect Family]",Futurelearn,"Organ Donation : the Essentials for Healthcare Professionals despite organ donation be hugely important there be currently limit training for healthcare workforce regard the complex issue around organ and tissue donation . this course aim to change that . ,On the course , create in collaboration with the NHS Blood and Transplant service , you will learn about the basic principle and process involve in organ donation from the legal aspect , to type of donation , to the importance of communication with family . ,Please note that this course will be facilitate by the educator on the third Monday of every month .","organ, donation, training, collaboration, regard, essentials, principle, limit, hugely, monday, Health & Safety, Healthcare & Medicine, [Explain principles,Summarise types, Identify key processe, Diagnose death, Evaluate laws, Describe tissue, Reflect Family]"
Business & Management,"Treasury is the financial heart of a commercial organisation, dealing with critical decisions that affect the success of the business.,On this four-week course, you’ll be introduced to the global world of treasury and the main factors that impact treasury decisions. You’ll examine the key drivers of treasury activity including accounting, tax, and regulation, learning how the role of a treasurer works within an organisation and the wider economic environment.,Through considered actions and activities, treasurers can add value to an organisation and drive business success.,You’ll delve into the world of accounting and discover how treasury can impact reported financial performance.,Learning about financial statements, measures of revenue, costs, and profits, and reporting on a company’s financial performance, you’ll be able to identify the importance of a treasurer in communicating with stakeholders and delivering meaningful insights.,A key role of treasury is managing tax matters and cash flow, and protecting them from the costly and damaging effects of tax mismanagement.,You’ll learn about corporate tax planning, taxable profit, and operational procedures within tax management, ensuring you can adhere to the legal tax rules and regulations of corporate business.,Setting the global benchmark for treasury excellence around the world, the ACT is the authentic voice of the treasury profession representing the interests of the real economy.,By the end of this course, you’ll have gained a thorough overview of treasury and its role in corporate business and economics, equipping you to kickstart a financial career using these sought-after insights.",16.0,"{'instructor_link': '/profiles/19153118', 'instructor_name': 'Janet Legge'}",Beginner,https://www.futurelearn.com/courses/introduction-to-corporate-treasury,Introduction to Corporate Treasury,316,40.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/the-association-of-corporate-treasurers',
 'provider_name': 'The Association of Corporate Treasurers'}",4.9,Janet Legge,The Association of Corporate Treasurers,Business & Management,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Describe environment, Relationship acct/treasury, Relationship Tax/treasury, Describe regulations]",Futurelearn,"introduction to Corporate Treasury Treasury be the financial heart of a commercial organisation , deal with critical decision that affect the success of the business . ,On this four - week course , you ’ll be introduce to the global world of treasury and the main factor that impact treasury decision . you ’ll examine the key driver of treasury activity include accounting , tax , and regulation , learn how the role of a treasurer work within an organisation and the wide economic environment . ,Through consider action and activity , treasurer can add value to an organisation and drive business success . ,You’ll delve into the world of account and discover how treasury can impact report financial performance . ,Learning about financial statement , measure of revenue , cost , and profit , and report on a company ’s financial performance , you ’ll be able to identify the importance of a treasurer in communicate with stakeholder and deliver meaningful insight . ,A key role of treasury be manage tax matter and cash flow , and protect they from the costly and damaging effect of tax mismanagement . ,You’ll learn about corporate tax planning , taxable profit , and operational procedure within tax management , ensure you can adhere to the legal tax rule and regulation of corporate business . ,Setting the global benchmark for treasury excellence around the world , the ACT be the authentic voice of the treasury profession represent the interest of the real economy . ,By the end of this course , you ’ll have gain a thorough overview of treasury and its role in corporate business and economic , equip you to kickstart a financial career use these seek - after insight .","treasury, stakeholder, benchmark, success, introduce, setting, deal, damaging, voice, kickstart, Business & Management, Business & Management, [Describe environment, Relationship acct/treasury, Relationship Tax/treasury, Describe regulations]"
